"filename", "language", "HTML", "JavaScript", "Markdown", "AutoHotkey", "comment", "blank", "total"
"c:\Users\Admin\Desktop\Alienoids2\README.md", "Markdown", 0, 0, 2, 0, 0, 1, 3
"c:\Users\Admin\Desktop\Alienoids2\index.html", "HTML", 27, 0, 0, 0, 3, 2, 32
"c:\Users\Admin\Desktop\Alienoids2\js\Button.js", "JavaScript", 0, 22, 0, 0, 0, 3, 25
"c:\Users\Admin\Desktop\Alienoids2\js\Controller.js", "JavaScript", 0, 46, 0, 0, 1, 11, 58
"c:\Users\Admin\Desktop\Alienoids2\js\Frame.js", "JavaScript", 0, 41, 0, 0, 0, 4, 45
"c:\Users\Admin\Desktop\Alienoids2\js\Hud.js", "JavaScript", 0, 84, 0, 0, 10, 24, 118
"c:\Users\Admin\Desktop\Alienoids2\js\Levels.js", "JavaScript", 0, 29, 0, 0, 0, 10, 39
"c:\Users\Admin\Desktop\Alienoids2\js\Menu.js", "JavaScript", 0, 16, 0, 0, 0, 3, 19
"c:\Users\Admin\Desktop\Alienoids2\js\Model.js", "JavaScript", 0, 92, 0, 0, 5, 21, 118
"c:\Users\Admin\Desktop\Alienoids2\js\Player.js", "JavaScript", 0, 44, 0, 0, 1, 10, 55
"c:\Users\Admin\Desktop\Alienoids2\js\PlayerShip.js", "JavaScript", 0, 147, 0, 0, 5, 28, 180
"c:\Users\Admin\Desktop\Alienoids2\js\Shop.js", "JavaScript", 0, 151, 0, 0, 7, 19, 177
"c:\Users\Admin\Desktop\Alienoids2\js\Shot.js", "JavaScript", 0, 46, 0, 0, 0, 6, 52
"c:\Users\Admin\Desktop\Alienoids2\js\View.js", "JavaScript", 0, 24, 0, 0, 0, 9, 33
"c:\Users\Admin\Desktop\Alienoids2\js\Wallpaper.js", "JavaScript", 0, 11, 0, 0, 0, 3, 14
"c:\Users\Admin\Desktop\Alienoids2\js\enemies\Asteroid.js", "JavaScript", 0, 63, 0, 0, 0, 9, 72
"c:\Users\Admin\Desktop\Alienoids2\js\enemies\Enemy.js", "JavaScript", 0, 40, 0, 0, 0, 4, 44
"c:\Users\Admin\Desktop\Alienoids2\js\main.js", "JavaScript", 0, 23, 0, 0, 3, 5, 31
"c:\Users\Admin\Desktop\Alienoids2\js\weapons\LaserGun.js", "JavaScript", 0, 32, 0, 0, 0, 6, 38
"c:\Users\Admin\Desktop\Alienoids2\js\weapons\MiningBeam.js", "JavaScript", 0, 34, 0, 0, 0, 6, 40
"c:\Users\Admin\Desktop\Alienoids2\js\weapons\PrimaryWeapon.js", "JavaScript", 0, 9, 0, 0, 0, 1, 10
"c:\Users\Admin\Desktop\Alienoids2\js\weapons\Rocket.js", "JavaScript", 0, 35, 0, 0, 0, 7, 42
"c:\Users\Admin\Desktop\Alienoids2\js\weapons\SecondaryWeapon.js", "JavaScript", 0, 9, 0, 0, 0, 1, 10
"c:\Users\Admin\Desktop\Alienoids2\responsiveCoordsScript.ahk", "AutoHotkey", 0, 0, 0, 9, 1, 2, 12
"Total", "-", 27, 998, 2, 9, 36, 195, 1267